Quantum,Trocas,Intruções
01,129,1.0
02,69,1.8405797101449275
03,49,2.5306122448979593
04,42,3.0238095238095237
05,34,3.7058823529411766
06,31,3.903225806451613
07,28,4.0
08,28,4.107142857142857
09,27,4.37037037037037
10,23,3.5217391304347827
11,25,3.32
12,25,3.4
13,25,3.48
14,24,3.5416666666666665
15,24,3.5833333333333335
16,24,3.625
17,24,3.6666666666666665
18,24,3.7083333333333335
19,24,3.75
20,23,3.5217391304347827
21,23,3.5217391304347827
22,23,3.5217391304347827
23,23,3.5217391304347827
24,23,3.5217391304347827
25,23,3.5217391304347827
26,23,3.5217391304347827
27,23,3.5217391304347827
28,23,3.5217391304347827
29,23,3.5217391304347827
30,23,3.5217391304347827
31,23,3.5217391304347827
32,23,3.5217391304347827
33,23,3.5217391304347827
34,23,3.5217391304347827
35,23,3.5217391304347827
36,23,3.5217391304347827
37,23,3.5217391304347827
38,23,3.5217391304347827
39,23,3.5217391304347827
